1
1000 4000
BDP AQO 679.25
AUD ATD 733.42
ATZ AMN 62.65
AYH BDN 494.58
AVZ AUY 206.95
ATR ACN 578.59
ARO ADG 839.14
BBG BLH 602.24
AHC AGO 813.12
AMI AYJ 806.40
BCW BJB 80.24
AJN AXH 471.45
BJP AIO 990.21
ABS BAE 605.40
AWQ AOL 495.23
AZE AWP 120.95
ADM BGV 969.58
APV AQO 654.14
AWJ BCO 764.74
AVV AOS 556.58
BFY BDE 69.79
AQT BIU 410.81
AAJ BJP 566.81
BAO BFL 296.06
AQB AND 920.02
ANS BEI 579.43
AIC ADU 809.49
BME BHG 930.39
BCG ANA 18.02
ASA ANL 573.83
AIS AMQ 899.50
AFA BDH 1.32
APR ARA 449.19
AWF APK 469.29
BJI APN 556.19
ACG ANI 243.88
AGA AYX 110.97
AOI BAK 833.07
BBI BGI 666.51
ACH AIP 933.85
BCL AUG 768.53
ATH AZI 414.31
BKH AWG 179.14
BAU BHB 53.21
ADV ASK 968.98
BER AIK 421.68
ARC AMD 695.78
ASO BLM 760.86
AMK AYB 434.58
BIN ANY 645.21
AQH AIH 785.80
AQS BML 416.72
AOA BJD 785.25
AIP AWO 294.68
BAZ BGF 731.64
AKL AAF 16.15
BKD BKA 727.64
BJD AAW 512.08
BIH ASN 790.42
AJT ANQ 253.64
BFP ALA 802.62
BFO BKW 500.37
ADH ASP 184.71
AZV ALS 468.35
ATO BFO 820.58
BHI BEI 961.11
BEW AVG 297.35
AGU AEJ 776.74
AZH AFZ 559.39
ANZ BHO 148.30
AZA ASS 804.36
AXK AUD 296.09
ARC ANJ 37.81
BCU AUO 208.66
BJK BKJ 188.89
BBG APS 783.98
AXP AFN 906.16
BBY AGN 87.70
BHX AEF 89.46
AEB ALF 509.56
AWT ADB 993.19
AEL BAM 489.69
BFI ASB 415.78
ANK AMX 883.74
ALH AIR 24.74
ACC BLN 733.94
AHP BKH 354.55
BBR BBL 450.68
BFW AZJ 861.46
ASD BLF 213.79
AVF ALB 924.85
AJF AJW 960.76
BBH AHE 821.91
APG AVO 183.57
BLL ABI 187.06
BKM BEB 143.51
AJJ AWQ 177.57
BKU AZG 259.55
BLG AFY 656.74
BJZ AUN 928.54
AWC AAS 223.25
AHB ADR 672.28
AOF AYO 244.68
AKW BMI 305.29
AZS ACC 899.25
BEV BDD 542.51
AOZ BHJ 855.51
APH AGS 907.95
AVF BGQ 951.03
ADH ACC 910.71
ARN BCD 623.59
AVE BKY 919.33
AUV BEA 451.16
BIF AZL 798.38
ALJ BKC 681.20
APO AHH 451.40
AKL BCN 679.42
ARD AUQ 883.31
AYV AYP 677.29
ABZ ACL 86.32
BED AQG 997.17
ADR BBF 825.25
AIT BFS 204.27
BIE AZM 119.68
BFU AFE 82.09
AOE AKO 278.56
AEF AII 852.61
BMJ BIQ 308.84
AYM AYF 906.82
ABZ AXP 303.27
ASF AMT 917.31
AGZ AIA 645.14
ANT AYL 649.61
AOH BKU 11.88
ATL AGJ 364.28
AFB AAW 606.06
BAY AYL 279.74
AXC BHN 240.83
AWJ AVH 724.32
AHM BHX 354.21
BHT BLC 204.72
ADH ASK 62.98
BBT BEL 848.31
BAB BLR 11.88
AHM BDF 515.59
AVW AOB 204.16
AHV ANC 365.47
ACX BDV 842.47
AYE AIA 681.99
BHD AYF 397.80
BFT ADX 403.27
AZF APJ 532.04
ARE AIW 772.90
BDX BDQ 493.63
AUQ AMR 650.40
BIS ADT 815.86
AWW BMJ 941.55
AOF AWY 43.58
AWF BEQ 757.85
AHY BJS 827.66
ALW AJV 556.27
ACH ARS 188.05
ALE ADY 368.12
ACI ARX 582.59
BCO ATL 333.88
AHJ ADN 822.77
AHG AXA 491.79
BEF BKV 947.73
AWJ BCO 431.42
ATP ATO 830.72
BDL ASU 172.78
AWF AYV 825.86
BAD ARP 16.46
AFO ACQ 592.88
AAB ARP 567.00
ARC BCG 617.94
ABR AKF 949.86
ANO APA 255.26
ARE BIA 213.11
BKT BKU 832.44
BEP AJB 511.06
AQY AGR 488.71
AJP AGP 788.00
AMG BFF 854.79
AEX ATS 509.75
AIF AZI 239.76
ASK AYU 187.72
AIM AGP 968.15
AEA BGC 951.67
APX ADB 59.66
AYY AHD 629.21
AGR APS 870.68
BAV AIA 808.60
ATO ABN 811.09
AOI AAO 787.79
ABF ANE 909.06
ABB AEK 161.19
AVE AKW 199.49
AOV BEV 971.69
BFK BDN 236.26
AAB ABO 660.39
BDH AEE 580.39
AMJ AMI 985.64
ANW BEC 892.61
BBY AVP 221.22
ACQ BFO 374.94
AHA ALF 298.77
BFK AJH 779.05
AXU BDI 398.07
AOV BCM 205.44
AQK BDZ 33.60
BIC AGO 557.13
AVN BCH 264.74
AND ANK 271.47
AJU ASC 105.07
ACW BLD 602.33
AOC BGK 166.53
BKX ADV 821.88
ACV BIX 700.04
BFI ARJ 916.22
BKJ AGI 693.60
AEM BHT 661.38
AHV BBC 690.24
AVF BGT 915.83
AOK BBJ 312.76
ANB BKI 505.31
AUN AXA 729.57
BLX BEG 146.75
AJK AFM 956.34
ABV BDL 620.60
AID ASJ 48.74
AQZ AXR 391.71
AFP AYP 66.39
BMI AWD 58.42
BBF AHV 587.46
AAE BCG 711.20
BKS BAQ 968.11
ADO AOD 493.44
AJA ANQ 556.81
ANN APY 229.25
BFW AYQ 879.73
ARB AGH 705.36
AQT BEX 99.77
ANY AYV 491.22
AVT BCP 314.71
AZC BHF 675.30
ANG ABA 338.86
ACL BBV 308.40
BDP APO 732.84
AUP AMS 148.71
AGT AZF 472.22
BAP AHJ 724.03
ATA AUB 238.46
ASX AYT 196.33
AJB ARY 349.95
ARI BMJ 339.13
ASJ BHZ 505.65
AVG ACY 742.61
BKU ANW 33.24
AYO AIX 824.46
AYV BFA 409.81
BGF AIB 165.09
BBI APR 482.00
ANP APD 426.94
AGQ AOY 221.85
AUB AZD 617.72
APO AIK 325.75
BGA ASL 314.04
AUZ AGA 239.56
AEY AXE 659.12
BJY BJZ 965.51
ATB ARC 365.48
AJV AYU 73.85
AYY BAO 680.95
AOY AIU 678.01
ABQ AAA 379.73
AKA AWD 624.94
ADO BLR 752.50
AXC BJZ 234.35
AHU AHS 639.80
AFH ADZ 444.60
BJY AZB 957.47
AWG AOZ 902.42
AXX BGE 8.49
BGR BMB 144.97
BGR AMC 152.38
BDX AGE 42.80
AEE APV 648.92
APG AHQ 713.36
AWY AUK 269.36
BAX BMC 304.90
BBA BCJ 66.28
ADN AMU 45.62
AKU AUN 724.92
AKJ ABF 531.13
AWM AXX 849.62
BCQ AJT 461.64
ATN AFP 529.41
BBD BGC 694.01
AWP BDQ 867.97
AWG AKB 873.93
AZR AJH 4.44
ANN AFZ 624.99
BIB BML 645.90
AKI AEJ 402.22
BIF AQL 244.92
AFM BKH 880.76
AYP BIA 261.72
ASF ALA 976.80
AWY AQT 587.37
BGZ BFX 733.25
ARI AYB 22.55
AXH AEU 412.74
AXG ACP 806.26
ACR ALD 538.63
ATD AFD 591.31
BEM AVP 443.72
BAB BCG 138.66
AMD BDM 488.57
BCW BGX 43.31
BJV AGY 562.79
BIZ BEH 861.36
AOV ACK 495.86
ARK ABO 675.43
ADQ BIT 961.47
AWH AOW 375.69
AFL AEG 604.18
AIT BLO 272.10
ANH AHD 908.87
AHS BHK 535.54
BCF AFR 856.57
AUA AYL 909.40
BJY AWB 698.49
BLM AEM 12.35
BHT AXS 660.39
AXR AHD 44.85
BBX AXF 410.65
ACB BFH 965.58
AJF ACB 971.37
AED BKX 404.82
AJV AXS 180.34
BIG BIZ 867.67
ARW BDE 816.40
BJW ANH 275.74
AVC AOV 215.49
BCF AIO 337.78
BAM AYP 397.46
ATI AVD 674.71
BIX BAK 798.77
BHI AUA 931.16
BGD BIX 605.75
BCQ AZY 58.30
BGW AZQ 640.73
AHS AJH 848.89
BKB AFM 358.21
ATR AKM 457.22
AFV AAS 358.07
BAY ASW 664.96
BCL AOD 813.50
AXN BGD 712.57
ATY APU 224.75
AUZ AWV 43.10
AID AZQ 404.06
BEY BIX 842.61
BKK ADC 534.61
AIL BEW 467.50
AJD BLA 522.61
ADB ARQ 274.12
ARE BFC 14.65
AYJ AQB 715.56
ABS BII 945.19
AYN AVJ 720.38
AZF BKZ 399.35
AVQ AIO 471.46
BMG ABJ 539.51
AFT BEF 982.49
AEH APJ 974.68
AVX AGH 240.58
BCB AYE 291.37
AFQ AUQ 89.36
APA ACE 565.69
BKJ ARE 326.13
BIX AOR 756.02
ASN BHV 332.57
ATX BFY 231.71
AZE ADC 975.18
ACB BIQ 856.67
AIJ BKW 397.78
AHP ADS 426.99
BCG ABG 757.80
AFM BKR 102.78
AWQ BJJ 686.68
AMJ AUB 879.66
AHS AFB 758.73
ABF ALQ 493.54
ARV BFO 782.23
ANZ BGH 928.78
AZY BLH 782.83
BDQ AAU 455.00
AFY BEU 450.50
AED ADA 157.84
ABA ADV 12.78
BIQ ACN 572.18
ABF ALE 235.39
AMV BMI 637.39
ATM AIM 481.22
BAV ARI 749.37
AZR BCF 416.53
BAL AWO 723.27
ASU AYM 960.97
BJI BDS 546.03
AOF APM 717.10
AQS AXW 290.89
ACY AGD 859.89
ACV AJQ 920.20
AYV BBX 867.05
ADR AZM 675.63
AGY AMD 202.61
AEO AYS 9.28
AEC ADN 849.67
BHU BAS 318.07
AYI BDD 680.78
AJS BGO 624.47
BDJ AHF 192.34
AOC AVN 143.10
ADN AKE 133.83
AEB AGY 110.28
AQF AQZ 164.75
APZ BBT 80.08
ATN ABO 311.26
AVH BGQ 635.85
ALY AKS 48.15
AGA BBX 724.48
BAT BKX 237.00
AJU AXY 148.16
BHN ANT 931.82
ABZ BCK 396.25
BGM AIF 127.30
BJH AWB 705.03
BKV ACA 852.71
AGB AYN 531.30
AQT ARK 286.83
ATT BIQ 999.94
BFS BKR 125.02
ARE AER 521.98
BEY ALR 274.52
AUW AKU 413.23
AED ANY 777.26
BAF AIK 405.70
ADH ASV 798.39
BBU AXV 641.49
AGS AZE 253.06
AQL AYY 640.94
BCE ATJ 266.07
BGV BAZ 484.31
ATO ATL 602.30
BEI AGZ 590.34
ATI BIX 49.28
BBS BFY 980.35
AVP AZT 790.68
AGY BFM 791.53
AHF ASJ 782.27
BGD AVZ 647.54
BAO AUK 111.81
APB AMB 902.65
AJP AUX 841.18
AQO AWF 186.26
BAN BGZ 497.66
BHN BIJ 902.68
BIJ AMB 269.89
ACL ARZ 779.02
AUU ABU 634.35
ARV BEU 286.22
ANH AMV 898.09
AZJ AXA 595.00
AHU BBO 62.43
AFC BAS 574.92
BMB ARS 872.74
AJA BCB 733.16
AVC ACS 561.87
AOD AMM 320.80
APX BDF 814.96
AVU AOR 970.36
BIP AHJ 918.52
ATE ABR 761.97
AVU ALA 312.08
AKB AFB 844.11
ACV APP 438.95
AFY BBT 982.36
AWE AKB 454.71
BIR BAR 973.71
AZK AHH 167.38
ABQ AWG 145.03
AWN AQO 390.69
AYE BLR 179.69
BJE AHG 578.19
ABT BKP 427.37
BEX AHQ 749.98
BHS AQS 534.24
AFH AJX 355.78
AHB AYE 811.55
AOI AOC 680.56
ALQ AIO 597.16
ADG ALF 11.10
ACM AXO 656.95
AXG BED 293.23
AVJ AUB 145.90
AEB BHN 626.35
AUT ALJ 934.38
AFT BHQ 966.67
BDX AOR 121.56
ATC AQV 883.39
BBQ ATL 230.64
AAJ AXS 133.66
AXY AZN 674.51
BDD BLZ 778.67
AKS AWF 594.71
ATI AVS 293.78
BER ANR 314.83
AAX AAW 803.74
BDC AGW 215.23
AUZ BHM 523.01
ABZ BJY 221.49
AAT AZC 128.67
BAG ADZ 798.76
AAV AMK 738.50
AXA BEN 526.08
ATV AUD 752.38
BHM AAG 167.40
AJK BCF 468.90
BDU AXK 12.65
AYU AKB 773.74
AWG APU 269.19
AIX AKR 259.70
BAK ATM 919.89
AAJ ANS 70.24
AFY AME 840.45
BAC BIX 376.44
ABK BML 795.11
BDP AJH 703.81
AOO ATN 559.77
BMD BHX 157.51
APM BEU 543.96
BAD AET 113.26
AHD ARW 999.09
BIK ASU 875.96
AVQ AUO 849.57
ASB AGW 351.11
ASB ABP 837.89
ACK AQG 788.26
AVX BCX 169.47
BEW ATI 196.77
BKT AJQ 556.69
ADA AWF 470.71
AUW ASS 231.02
ABF AQS 636.40
BJH APB 425.34
ADR ATJ 614.48
ASU AYU 792.70
BJA BFQ 290.91
AAN BDQ 741.53
ATV ARF 157.23
AEO AEM 638.77
BAT AUT 291.84
AUN AYS 212.62
BLG AKW 811.57
ANV AGM 995.40
AIG AXS 604.57
BHB BIC 179.04
BAF BLP 513.92
BEX AFB 476.54
AJR AHY 626.67
BBR AQT 285.34
AJZ AXW 160.04
AJT AJA 36.99
AUP APB 405.85
ACD AKX 815.53
AZV ADO 442.64
BJA BMI 638.31
AJF BCM 240.42
BBU BCS 200.75
AKU APX 688.79
BBO ALO 64.82
BAM ALS 885.53
BJM ANS 621.64
AZQ ALH 504.17
BKN BGO 333.04
ABQ ARU 533.59
APA ALH 883.83
ASP AMX 12.93
AIV APV 538.84
BMH AYS 876.07
AYX AEU 508.87
ALR ABD 239.55
AAL AHM 196.43
ALS AXN 755.66
ATI BJG 892.32
BLD AYD 765.33
AXM AAK 979.27
ALM ALR 876.70
ACJ AUU 971.53
BBB AFR 67.34
AGX ABI 627.29
AIA ANE 263.76
BDA BLX 300.32
AOC AVF 610.43
AYK AFF 763.48
AKB AZT 738.50
AKM BKM 141.67
BJR AXU 447.78
ARZ AET 60.76
BLE BHA 344.89
ANP BKD 661.92
BAT AZS 567.23
BAE BAY 782.83
AWM BCP 930.38
ACT ADN 677.56
ADO ALI 193.90
ABP ART 340.03
AAL AJF 836.27
AFF AZR 859.07
ANH AGA 947.26
AKY BAY 976.93
BKQ BDV 783.98
AZC ACH 280.93
BCU ARH 991.25
AHJ AHX 670.61
ASR BKL 211.33
BKL BKO 705.77
AUS AWG 969.70
AVM BGF 879.82
ACO AVR 734.69
BDN AXK 438.14
AUW AAG 944.50
BKR ADV 354.03
APM AWF 294.07
AXJ AYO 211.55
AVI AET 33.47
BGZ BAZ 498.32
BEH AZV 911.31
AYA AAF 720.22
AUT ASG 985.80
AFS AYQ 379.98
ATM ADN 237.65
AXI BGO 616.60
AUP AJT 299.65
AGR APT 53.68
AYZ AEE 883.27
BBA ALG 982.34
BBX AQI 690.91
BCD BES 172.30
AVL BCC 122.06
AVE BCA 487.45
AYR BGO 572.45
AST ATM 997.52
ADO BFR 207.10
ATH AHJ 192.45
BKZ ATZ 787.70
AJU AEB 204.19
ABE AHO 474.73
BFW AQK 241.99
AVM AYI 712.82
AYO BCB 458.39
ASQ BLN 243.89
ANE BBZ 13.82
AGK AQV 122.21
ANT ABI 863.14
AIU BEY 448.15
AMV AWE 401.29
BHX ABX 893.83
AZJ AJO 164.13
AYT AUK 932.41
AOJ BBU 511.51
BAY ARV 117.89
BDZ BGO 316.26
AVW ACP 559.68
AXE AOR 311.34
APQ AVD 788.44
BLU BAC 874.24
ABG APX 551.10
AYI BFU 509.91
ATV AQD 250.03
AWR AVY 566.46
ACA BBJ 273.71
BIO AMZ 780.71
AMG ALU 412.02
BAX BEM 47.70
AXC BMA 43.72
AYG APX 187.79
ABR AUD 11.13
BHL BHI 824.97
ALC BHL 871.30
AIC ATW 189.97
AKO AJF 75.86
AXN AZN 936.38
AKJ BHH 948.89
APY AYM 72.07
APM AAI 332.58
AGL AFJ 178.59
BAO AJT 174.89
AVL BCW 215.33
BDY AIY 627.54
AYW AIV 343.95
BIC BFJ 876.05
AVD BFA 832.31
BDM ABV 201.95
APM AJU 544.64
BDJ ATS 662.30
BIS BBV 16.33
AFZ AVT 971.52
BIW ARI 588.43
AFI AHW 867.52
BBS AXB 58.82
BID AVL 565.29
BAR BEI 987.67
BCM BLV 106.68
ANI BEU 334.34
AID ABE 881.89
ALA AAP 629.52
BGT AGM 928.54
ALP ANZ 790.10
ATM ARZ 202.68
AEB ANL 874.06
AAO AIW 484.78
BEX BMJ 783.66
BEG AZP 34.11
BKC ARK 185.04
BLH AYR 308.50
AMY AWV 64.13
BGY ARF 467.00
AIL BFD 855.51
BAK ACZ 772.05
AOY BGE 517.11
AXU AMC 761.68
AXS BAE 381.83
AYJ ADO 373.38
ADH BKM 774.76
ADA BES 294.15
AAX AIE 757.36
ASD AKE 180.72
AYI BFJ 699.29
BBI AOI 65.00
AVA ADF 981.87
AIE AXG 999.27
BIJ AFJ 355.45
AMZ BFX 365.13
AKZ ALT 134.99
AQT BBS 835.84
BML BFC 840.15
AKD BHX 450.38
AQP AGG 758.61
BEX AZM 554.94
AJF AHT 205.56
AHN AEY 421.02
BAK AZY 176.66
ATV AUT 929.11
BFO ABM 876.00
BIJ BLN 202.37
BAZ BMC 216.73
BJY AOQ 310.24
ADS AJI 622.88
BDF BCI 500.71
BKY ALG 388.74
ADL BCS 294.65
AEL BDK 816.60
AAG BAA 663.46
ABT AKQ 208.61
AOI ATU 390.34
ANY AUT 502.79
BCO AVR 139.80
AMY AHV 809.15
AQI AKO 373.63
BBO ATH 571.22
BFI BLE 874.35
AWH BLR 955.24
AXJ AMN 659.91
BHZ AUT 189.97
APH BJP 843.94
ALC AHW 457.66
BGU AUQ 34.80
ACD BEX 25.75
AMS AGL 189.11
BFZ ALD 243.36
AFT BBW 394.04
AEY AXC 225.71
BFA BKH 751.50
ANH BKF 227.57
AKK BAL 529.92
BFU ARM 697.42
ANY BJY 110.30
AGK ATP 78.82
AMV BDT 389.38
BLM AEF 706.20
ABZ ATT 418.03
AAD ADG 819.52
BKL AWO 54.33
AJG BAT 622.39
BJR ABO 59.36
AOR BEC 592.06
AZS AGI 213.84
AUJ ABV 737.46
ALQ AMZ 462.64
APV ALX 599.49
AKR AEI 719.24
BBL AQA 23.27
AZC BGR 303.30
BAX ADK 546.29
BCL AAY 778.69
BHP AWK 7.97
ABM BLE 855.30
ADH ACN 355.50
BDU AMR 370.80
ADF AYH 253.82
AHN AVJ 411.46
BLB AJA 237.75
BFH AVS 958.40
AJT AHM 324.92
AKS APZ 891.92
AIE AIE 352.83
AUL ADR 241.57
AWY BMJ 831.95
AKR ACZ 366.32
BIY BFG 234.06
BFJ ALY 468.41
ABX ADH 323.88
BLE AKR 783.51
AGE BDQ 901.64
AWD AMC 464.18
AFK AWZ 530.48
AWP BDA 692.60
AWM ALP 327.91
AAO BJX 337.39
AGW BAP 20.17
BGI AUM 302.77
AKR BJK 740.93
AVI AKM 521.42
AMM BEI 274.60
AYO AVM 56.20
AWQ AXI 135.48
BAS AIL 520.40
BMI ANY 229.79
AKV ADY 455.63
BLL ASD 59.29
BGZ BCU 294.59
BDY AHL 572.99
APM BAM 295.76
AUW AFS 421.31
ADX AER 274.55
ACH AZT 74.46
AKS ACJ 173.86
BMF ABO 650.80
ADR BKT 664.28
BJI BIB 417.10
AZQ ANG 470.35
BHC BMI 128.92
BIQ AWA 880.22
ABW BBB 507.76
AGN ATR 913.19
AHI ALX 887.72
AJR BAT 798.31
ALF AEX 664.62
AJN AVK 814.55
ASQ AXU 749.02
AGY AZD 488.20
AGU BIN 498.38
BCV AKM 520.50
BEY ABW 239.50
AZR BBR 929.99
AMQ ASX 975.20
AAX AML 347.11
AFV AFH 729.62
ACH AWU 352.54
BAB BGO 998.53
AMS AZQ 563.37
AWH ATK 668.69
BGT AVJ 560.46
AJS ATL 861.47
BLJ BGY 993.03
ARV AON 393.23
AFI ADK 136.51
AKP APM 396.75
AIL AAI 151.78
ACN BHD 65.89
ADF AVE 392.66
AWP AQE 929.48
ATA BFM 805.27
ANO AMF 227.31
AIA AXW 539.83
AWN BKH 983.06
AAZ AWX 117.69
AQM AXY 232.59
BEI AFW 828.86
AAC BCN 721.05
AVG ANV 985.22
AMM ALV 946.05
ATA AHE 101.93
BFF AKJ 300.39
BEE AXG 453.91
ADB BJB 656.00
ABA ABG 45.37
AAA ALG 969.15
ATK AUK 156.95
AJL AYM 124.83
BKU AGC 34.85
AKD AEM 613.90
BEW ALX 530.66
ACT BAY 345.61
BAA ADO 247.24
BKD BAQ 228.60
BLJ AWJ 519.40
AXR ATC 583.18
AFQ AUX 653.19
AFE ABB 208.23
AYU BHG 314.21
BDG AJU 363.77
AQF AMJ 449.93
AES AJA 377.95
AIG BKW 702.18
AJY BFN 798.94
BGH AEH 141.85
BAM AQN 521.57
AIX BCU 661.24
AXM BJO 226.22
ASH ANH 937.56
ADD ACW 107.53
APM ACP 355.13
AYM BHE 272.87
BKL AQR 834.09
BDM AMP 819.75
BHT BHH 885.85
ALU AAW 77.76
APR ATE 364.64
AMT AER 230.48
ABC AIV 800.10
ADY AMW 944.85
AUC AHS 769.19
BCI AST 313.21
AGN AJO 413.10
BGR AWD 152.57
BBM AGE 923.75
ADK BKA 82.52
AWO BCZ 539.10
ACH AFX 946.69
AYR AGH 350.00
BLN AAB 553.80
AGT BJK 758.35
AAO AWV 413.57
AKC BIT 60.93
AHH ATS 402.63
ANL BID 401.12
AYO ASX 198.26
APB BDA 479.14
BIM AQH 68.52
ACH BDW 192.64
APW ATO 789.05
AMU ANF 292.32
AKS BAY 57.60
AUN BEO 357.74
ABU APT 353.89
AKZ AUB 29.30
AEZ BAX 942.80
AJB AXP 499.18
AZI BFL 226.61
BEG ADD 355.57
ALJ BLY 849.68
AYO AVZ 653.81
BAP AMT 700.65
ASR ARP 303.43
AJM AHQ 38.77
BDN AEZ 222.75
BFM BDH 779.12
BED ABF 790.41
AXC BAQ 286.28
BAG AXD 722.87
AAU BJL 104.25
BKH ALQ 820.72
AKO BBS 467.11
ADG APZ 784.02
AKW AYU 832.39
BDJ BJJ 178.37
AUE AHC 896.04
AVJ AIR 837.74
AXB BGW 155.57
AHS ASZ 81.57
AES AKK 971.91
BDW ANF 452.12
BGQ APQ 141.55
AKE AGE 97.82
AKA BCX 842.18
AGY AWQ 728.52
BBO AUY 786.16
BKF AMG 284.92
AFR BHR 560.48
BME ABG 166.47
AXR AIQ 622.00
BKW BEI 776.74
AOA ALJ 448.02
BHS AQN 500.03
AYD AYX 236.19
AIH ATG 858.79
BDF ASA 754.11
AQN BKY 701.27
ALS ANW 654.21
BAM ANW 899.20
AKE AVO 159.13
APO AWO 865.28
BAY BCM 838.38
ASN BCP 545.54
AEZ ANY 934.30
BLT AJI 0.57
BEV AAF 86.24
BDH AFD 87.35
ASG AVI 841.64
BGC ASG 504.68
BCS BCL 485.08
AMU AXV 427.73
ACU ARP 111.77
AGM ANZ 842.29
AUK BEN 717.11
AEU AHU 741.92
AFA BFU 645.25
AXR AVP 376.78
AUB ACZ 57.91
BMH BIN 412.65
ADJ APQ 770.99
ACG AUL 918.45
ATW BBG 795.29
AIX ALE 849.54
AAZ ANP 581.22
AWH BIN 390.04
APQ BDU 971.29
AMH ARK 406.11
APH AJJ 232.26
ALI ATP 267.47
ACA BKY 410.94
AWL BFA 985.33
AYU BAL 855.92
BJY AYR 24.60
AYP AEL 36.91
BIE AEQ 990.68
AZM AXD 886.48
ARY AVS 810.54
BBH AFM 177.25
AVY AJH 501.22
AUL AMX 777.69
BAN AIN 328.21
AOM BFH 907.57
AOG AYB 464.01
ASR AME 166.87
AXH AOV 896.78
AVM AOV 395.66
AES BEL 472.28
AKE ATW 666.94
ATL BMD 37.55
AHL AEI 833.26
APY AKZ 152.09
AWH ABQ 748.98
AHW BEP 746.26
BHO BGC 829.96
AXL ATS 744.82
BMG ADA 44.39
BEF AZI 699.98
AZE BBC 281.20
AYV BFG 347.37
AEF ASW 2.42
APE BAX 147.87
BEJ AWZ 442.01
AWM AIP 231.32
AQD AIM 213.36
AKX ACC 752.09
ANY ASZ 1.70
AOI ASX 521.65
AQN BLC 449.50
AJH BAZ 289.56
BCD ALJ 216.01
BEC ADF 497.10
AOP AYM 624.57
BKS BDP 342.46
AUG ARP 278.30
AWI AAS 926.01
ACW AHH 18.85
BJH BBE 115.99
BHX AZG 853.23
BJY BLD 897.52
AIW AVU 613.45
AZP AYF 834.28
ALP ADI 712.10
AQG BAI 159.41
AIY BHI 758.96
AJQ ASA 667.74
BEL BBD 303.55
ATD AZG 37.81
ATM BLR 406.98
ASD ADG 19.32
AOZ BEB 222.18
AOG AIC 854.48
ARO BDS 391.13
ASY BBM 437.67
ANV BLA 225.41
AGX BCI 967.73
AJC ARB 743.76
BII AIQ 555.19
AIP AKP 760.17
AZJ AVN 298.75
AQZ BDX 133.46
AAD AWG 970.87
AEX BAP 144.58
BGJ BFE 442.66
AFZ ANO 207.59
BII ASJ 44.70
AMX BGV 716.49
BJC AOJ 568.85
AHF BCO 881.29
BCS AXT 343.52
BHR AMD 180.12
ARL APM 168.05
ATD AIE 141.60
ALV ASL 812.87
AAL AWS 504.81
ASV ACI 976.36
BAS BBH 58.80
ACP BKK 892.16
AGF ACX 4.80
BDY BDZ 476.67
ARD AFN 817.65
AHS BKM 86.40
APW AEE 464.46
AJJ BCU 179.43
BGB AIV 996.02
AJL BHH 976.14
ALU BCS 414.55
AJS AMC 891.49
BAD BEO 125.69
ARR BFH 877.30
BKS BJU 608.61
BIT BJM 616.58
ANZ AOE 708.58
AEH ALZ 356.23
BAQ BJE 838.66
BJA BHW 690.52
AAI BAL 792.97
AMK BGE 26.04
ASA BDD 122.08
AYJ BGI 798.88
AVR BAZ 726.99
ASR ANV 86.53
AHY AVY 209.08
BHL AHL 72.72
AFF ACH 817.35
AAP AEH 784.28
BBA BDH 113.38
BIH AOB 863.46
AYY AWB 90.20
ASU BFH 798.40
AUV ATS 464.73
AJT ATY 233.88
BFR AQK 192.25
AAQ ABY 804.31
AQL BEG 413.01
AUT AVU 14.36
ALO AJW 748.04
AAR AXE 28.58
AWS BLM 747.49
BDC BFI 357.50
AKI AYP 572.38
AFI ABB 491.32
AVT AJS 403.85
BLF BAI 182.08
BCZ AMZ 182.24
AZV BDT 570.03
BJR BJT 708.94
BHX BEI 391.94
BGX AUR 135.63
AAV ALB 735.06
AZK BHU 152.62
BAL ANY 278.82
BKE BCT 200.21
BLO BKT 289.38
AZP AUL 619.05
AQW AUO 170.11
BBS AQN 890.34
ATO BLN 729.62
APH BIH 878.43
ABL APH 590.51
AKH AAL 664.24
AYF BIJ 400.85
AOM AKG 361.24
BAH AHW 410.64
AVU ARU 843.92
ARK BFT 910.57
AIZ BHB 788.48
AVP BFP 225.68
ARK AAR 414.28
AHT AQE 101.77
AIE BGM 482.14
ARP AKV 454.81
BBW APQ 674.62
AKU BFQ 218.38
ADQ AIH 758.73
BJJ AYA 314.39
BDZ BFS 782.44
BKQ BCQ 544.77
AMJ AGQ 320.38
ADP ANM 408.42
BKC BJG 380.43
AIL BCW 716.07
BLP AIE 530.65
BEU ABZ 351.41
AAP AKQ 304.21
BMD BBO 498.68
BFK BKY 777.87
AVO BEJ 359.18
ADH BFW 808.71
AQT AAW 495.44
BBB ACO 846.38
ARL AZX 689.28
AZQ ADM 424.99
ACR AIX 414.77
ANH AAF 232.77
APX BHP 886.44
BBX AAM 286.35
ATV BJV 548.03
BAT AFY 733.64
BBP BAW 584.49
BED BAM 202.36
BFD BLG 232.91
AJR ASA 967.45
BGD ALL 244.11
BGI AWC 608.32
ACN AVY 491.77
ACZ AVL 699.43
ANW ANX 686.68
ATU ACZ 161.83
AVT AUG 608.78
AJT AEK 435.96
AWC APP 187.31
ABQ ATI 578.92
BAP AKF 141.44
AKF ADT 389.79
AHF AYD 791.71
BCQ AVY 682.36
ARP AJE 166.65
AUO BDU 440.26
APW AAE 475.40
AUG AXC 94.57
AKY BAI 980.63
BEG AWE 986.37
ACA BBS 700.31
ATH ABZ 537.22
AEY AIO 893.39
BAW ARQ 655.26
ALD ASI 436.22
APZ ATI 620.80
AQD APE 106.14
AOI BGU 803.79
ACE BJF 589.05
