1
2000 4000
BWI CCY 553.76
BWJ COB 567.58
BWK AEY 669.25
BWL CPA 58.82
BWM BAR 10.84
BWN AMU 486.27
BWO BTT 637.32
BWP AKM 32.67
BWQ ABE 345.81
BWR BHD 272.08
BWS COV 365.72
BWT CXE 44.74
BWU BYC 261.91
BWV CHI 431.12
BWW ADP 653.45
BWX BBT 634.43
BWY AVI 78.73
BWZ BET 27.90
BXA AZX 86.82
BXB AEP 848.93
BXC CGM 653.66
BXD CDU 348.03
BXE ACT 967.09
BXF CLE 980.75
BXG BXJ 104.53
BXH BNL 348.55
BXI BZE 490.20
BXJ BUP 949.80
BXK ARC 709.84
BXL AMR 651.06
BXM AVD 748.90
BXN BDJ 734.03
BXO AHL 651.03
BXP AFI 739.14
BXQ BFB 12.18
BXR BKA 162.57
BXS BOU 86.79
BXT COZ 283.87
BXU ARU 54.83
BXV CWN 693.83
BXW AJF 680.97
BXX CEO 629.62
BXY ALI 599.21
BXZ BWJ 250.33
BYA AFJ 287.39
BYB CKR 999.38
BYC BZP 350.41
BYD ATC 27.44
BYE AZJ 658.87
BYF BQN 66.34
BYG BVV 518.18
BYH BGS 500.42
BYI BEB 903.04
BYJ CQT 985.91
BYK AMO 375.95
BYL ABS 280.76
BYM BNZ 49.17
BYN BGG 555.14
BYO AVC 653.33
BYP AQI 284.47
BYQ AOW 706.87
BYR COM 140.53
BYS BSG 180.79
BYT CXQ 385.77
BYU BUP 261.61
BYV CYD 674.24
BYW CRY 844.55
BYX BQT 711.81
BYY AEU 449.51
BYZ AVA 32.50
BZA BZB 704.51
BZB CAQ 45.90
BZC AEB 387.18
BZD ABZ 565.59
BZE BMS 570.05
BZF CNC 144.76
BZG BHX 133.92
BZH CSE 497.73
BZI ANM 943.83
BZJ AUY 317.90
BZK BUS 499.13
BZL BBS 148.76
BZM ACF 493.84
BZN AMX 581.83
BZO CDE 721.82
BZP BLX 768.81
BZQ CSE 91.13
BZR CSL 343.53
BZS BWQ 742.81
BZT BXM 682.34
BZU BOW 922.71
BZV AAP 753.30
BZW CDZ 602.96
BZX BAD 698.39
BZY CYG 298.05
BZZ ACT 752.24
CAA ARK 171.96
CAB BJX 467.91
CAC BZB 88.61
CAD CBR 772.68
CAE AFU 991.13
CAF AIS 563.80
CAG BPU 683.26
CAH BKX 724.09
CAI AYT 143.50
CAJ AXX 65.97
CAK CWD 397.06
CAL AAC 286.37
CAM BFW 233.83
CAN CHG 546.81
CAO AJX 328.10
CAP ANV 656.11
CAQ BDB 527.09
CAR CVZ 492.92
CAS AVO 500.82
CAT BTZ 753.18
CAU CNJ 970.62
CAV COY 737.73
CAW AHA 387.85
CAX BRR 406.99
CAY BXW 868.25
CAZ BHZ 761.09
CBA BQG 292.24
CBB BKX 428.85
CBC CVV 359.26
CBD BPX 384.99
CBE ARV 601.76
CBF BVQ 514.48
CBG BQA 655.70
CBH AAE 71.61
CBI ASL 436.52
CBJ BPB 975.51
CBK BYY 305.30
CBL CMD 388.07
CBM CTN 338.58
CBN BAH 388.03
CBO BWQ 431.55
CBP BCD 635.67
CBQ BEY 523.62
CBR ALC 576.90
CBS AUW 367.23
CBT BIQ 897.29
CBU BTH 493.57
CBV BJR 424.90
CBW CLN 746.21
CBX AKO 469.31
CBY ASO 484.82
CBZ CAN 916.93
CCA ATG 158.06
CCB CMA 810.32
CCC AHF 263.59
CCD CTV 866.99
CCE AXU 674.51
CCF CRT 745.98
CCG AYR 894.23
CCH ATE 244.54
CCI AHB 775.35
CCJ BII 557.50
CCK AJG 717.13
CCL AMW 418.19
CCM BCW 642.43
CCN BPM 809.60
CCO AZD 495.84
CCP CBM 244.43
CCQ CET 195.06
CCR AIJ 314.06
CCS ARP 580.15
CCT CEK 480.84
CCU BNV 10.76
CCV BGT 616.32
CCW ADI 40.28
CCX CID 493.49
CCY CDW 166.21
CCZ AMW 248.07
CDA AYC 196.92
CDB ALC 510.21
CDC CYF 717.28
CDD BYM 293.66
CDE AGF 209.87
CDF BGN 30.54
CDG BFG 919.88
CDH AAD 190.62
CDI CFR 852.69
CDJ BAV 754.70
CDK CDY 388.86
CDL BJE 95.48
CDM BWC 395.40
CDN ATT 408.29
CDO CKY 967.02
CDP BCS 608.48
CDQ AIN 486.14
CDR BAS 330.34
CDS BCY 602.02
CDT CHH 580.06
CDU CCI 489.13
CDV BWG 543.86
CDW CRH 282.24
CDX CFL 72.57
CDY BPN 896.52
CDZ BIG 325.43
CEA ADN 525.33
CEB AQJ 878.04
CEC BLX 336.93
CED BCT 809.39
CEE AFJ 269.73
CEF CJB 794.94
CEG BHW 863.60
CEH BJE 122.81
CEI AYP 239.85
CEJ BWC 604.56
CEK BTY 640.51
CEL AYD 465.04
CEM AEK 373.47
CEN BML 221.20
CEO AZN 691.93
CEP ADB 718.89
CEQ ABT 131.07
CER BSI 628.56
CES CRB 373.82
CET ANR 99.00
CEU CPE 19.34
CEV AYW 562.94
CEW BJR 346.26
CEX AXN 675.61
CEY AOF 715.66
CEZ CXT 642.14
CFA BBQ 919.15
CFB BWP 605.96
CFC BPD 808.32
CFD AOO 726.14
CFE BGY 700.84
CFF CHJ 44.57
CFG BYN 369.01
CFH AYM 626.96
CFI BKM 274.61
CFJ CPF 713.43
CFK CLA 946.94
CFL BYU 503.94
CFM CXF 289.17
CFN ASQ 42.84
CFO ATE 786.76
CFP AWT 688.05
CFQ CPM 955.68
CFR APL 998.54
CFS ASB 611.75
CFT BWL 591.31
CFU CWQ 333.25
CFV AWG 471.55
CFW AHV 636.05
CFX BPA 772.14
CFY AVM 151.51
CFZ CSZ 368.14
CGA BUM 925.48
CGB CEJ 555.17
CGC AFX 215.15
CGD AHJ 383.01
CGE CED 610.03
CGF AWA 871.34
CGG BMB 692.13
CGH AOY 493.25
CGI ARO 758.10
CGJ CFF 779.99
CGK CFY 47.48
CGL ANP 120.65
CGM CKU 677.09
CGN BHC 594.20
CGO AWO 705.42
CGP CDM 90.57
CGQ BJR 161.46
CGR AAN 9.07
CGS CIB 570.80
CGT AQU 705.56
CGU CNA 790.20
CGV AWN 910.08
CGW BAJ 610.31
CGX BGJ 949.73
CGY BYY 814.93
CGZ AJH 623.28
CHA BCS 471.83
CHB BII 545.94
CHC AOC 127.30
CHD BWY 141.05
CHE BSS 593.04
CHF CDU 627.14
CHG CXX 40.89
CHH CGO 294.63
CHI AAT 355.34
CHJ BIW 119.58
CHK BYS 740.62
CHL BQB 954.91
CHM BFK 760.03
CHN CTC 719.35
CHO AXR 961.41
CHP BYY 764.41
CHQ BNV 577.13
CHR ARB 745.68
CHS AZX 777.54
CHT BOS 700.67
CHU BRP 281.88
CHV AYF 288.61
CHW AMM 291.07
CHX BMF 425.03
CHY ART 746.96
CHZ BQS 282.52
CIA CPB 737.79
CIB AFE 2.03
CIC ASW 305.60
CID BON 563.34
CIE BDV 391.06
CIF BFN 27.29
CIG BXX 801.63
CIH CVT 836.15
CII CMS 823.23
CIJ BHF 113.27
CIK AHG 28.16
CIL AKP 754.92
CIM CYU 148.65
CIN CVP 456.20
CIO CUA 888.09
CIP BKF 710.23
CIQ BVE 976.16
CIR AUI 450.75
CIS CCG 760.69
CIT BTF 875.81
CIU AZM 341.85
CIV ANK 283.46
CIW CXL 3.11
CIX AYK 886.17
CIY ALL 819.96
CIZ BFG 94.97
CJA BZQ 564.85
CJB CNM 494.39
CJC BOT 356.90
CJD ATF 99.67
CJE BMC 852.84
CJF BWE 34.40
CJG BHK 685.69
CJH AYO 437.80
CJI CNX 826.30
CJJ BSX 761.65
CJK BHF 543.75
CJL BAK 638.68
CJM BGF 328.25
CJN BFP 536.73
CJO CGO 851.34
CJP CKI 159.85
CJQ CQI 808.64
CJR BIW 456.74
CJS CLE 768.35
CJT ASD 574.06
CJU BUC 529.84
CJV CVH 777.23
CJW CFV 584.18
CJX BOI 988.95
CJY BOU 855.68
CJZ CWT 905.68
CKA AQU 122.76
CKB BQJ 109.82
CKC AZF 232.73
CKD BDG 762.74
CKE AXN 441.77
CKF CBQ 827.32
CKG APQ 903.87
CKH CIO 906.52
CKI ACG 4.00
CKJ CBH 620.46
CKK CQB 416.09
CKL AOP 912.90
CKM AUS 776.25
CKN BTX 574.28
CKO ANK 815.98
CKP CUC 194.89
CKQ ASD 351.36
CKR BDH 553.27
CKS CXD 951.26
CKT CLR 995.21
CKU AJT 565.64
CKV BYD 134.01
CKW ACC 106.60
CKX CCI 468.78
CKY BJO 684.64
CKZ AQJ 807.97
CLA AQY 650.45
CLB AZU 428.05
CLC AWN 949.78
CLD BJS 222.16
CLE CNP 809.33
CLF AQF 31.55
CLG BGC 721.76
CLH CLQ 71.82
CLI BBC 391.40
CLJ CNO 556.61
CLK CCL 889.57
CLL CXT 590.08
CLM AJE 894.69
CLN AKZ 597.34
CLO AUL 475.14
CLP AVN 7.11
CLQ CTW 453.23
CLR AZD 715.82
CLS CRE 764.53
CLT COW 659.34
CLU CDL 518.55
CLV ABF 61.59
CLW BZP 602.75
CLX CCL 240.37
CLY CNI 363.97
CLZ CNR 114.72
CMA BGA 651.13
CMB BJY 740.28
CMC CPU 254.22
CMD BKA 452.20
CME AKX 742.94
CMF CXT 854.95
CMG CCZ 221.51
CMH BKU 89.75
CMI BIZ 835.79
CMJ CDE 886.94
CMK BGV 603.50
CML BLP 594.65
CMM CFU 245.46
CMN BKI 527.45
CMO AIJ 795.53
CMP AZQ 26.51
CMQ BAD 674.01
CMR BFR 319.53
CMS CGR 104.42
CMT BPW 657.59
CMU CJU 558.08
CMV ALZ 534.09
CMW AOU 410.36
CMX AXR 256.19
CMY AMB 372.93
CMZ CYT 600.50
CNA CTV 255.18
CNB ACM 509.73
CNC COC 357.22
CND BXB 273.60
CNE AAL 842.87
CNF CMY 762.93
CNG AXA 230.43
CNH CFD 445.11
CNI AXY 181.23
CNJ AKX 509.25
CNK AMW 942.28
CNL CKE 845.94
CNM AIF 667.19
CNN AOA 925.84
CNO BLY 408.78
CNP BCU 343.60
CNQ BZH 48.53
CNR BJR 491.65
CNS AUF 890.51
CNT BZM 885.54
CNU BUE 228.89
CNV CWI 413.78
CNW AJH 57.98
CNX CVY 794.17
CNY BAS 288.63
CNZ CDN 142.05
COA BSI 510.28
COB CPF 74.12
COC CYU 417.17
COD BKM 544.64
COE BFS 689.82
COF AHF 816.96
COG BHD 741.57
COH CIA 471.15
COI CMF 73.87
COJ AKQ 692.50
COK AYE 168.69
COL BNG 925.60
COM AMR 128.69
CON ADG 629.42
COO CFR 350.23
COP ABZ 138.79
COQ BXR 250.03
COR BBT 201.51
COS AXR 376.39
COT BLL 820.21
COU COB 634.39
COV CWY 131.61
COW AKQ 109.31
COX AZU 335.08
COY BDE 122.97
COZ BSX 812.98
CPA CTM 297.38
CPB BKX 681.87
CPC CEZ 621.87
CPD BUO 333.95
CPE BXA 573.32
CPF AMY 996.13
CPG AEM 849.18
CPH BIZ 654.09
CPI CDA 107.31
CPJ AUC 618.83
CPK BOE 274.99
CPL BEC 444.70
CPM AMS 516.72
CPN CXT 894.52
CPO BQK 134.40
CPP BTI 94.88
CPQ ABB 773.12
CPR CFR 184.89
CPS CUM 578.60
CPT BTX 530.61
CPU BNN 155.11
CPV BEB 975.29
CPW BXQ 51.43
CPX AIT 556.90
CPY CWB 430.72
CPZ BJN 391.01
CQA CWA 89.69
CQB AYR 417.06
CQC CGC 942.54
CQD ABV 409.63
CQE ARJ 346.13
CQF CWB 835.77
CQG ACP 608.31
CQH BAP 677.77
CQI BTU 703.03
CQJ AGK 338.84
CQK CPX 225.69
CQL ACN 189.47
CQM BMC 270.55
CQN AEX 762.92
CQO CPD 249.15
CQP AJD 570.51
CQQ BQR 316.69
CQR AKQ 272.30
CQS AHL 626.19
CQT CIY 663.23
CQU CVC 349.97
CQV AGY 418.62
CQW CYP 683.19
CQX BLN 308.71
CQY BDC 795.33
CQZ ADZ 571.41
CRA AQZ 288.73
CRB CWF 461.68
CRC BFG 997.83
CRD BOK 424.08
CRE CRR 705.57
CRF AIT 912.87
CRG BHM 472.72
CRH AJK 608.55
CRI BTI 194.15
CRJ BDK 398.28
CRK ABQ 934.30
CRL ADY 829.44
CRM CRW 240.33
CRN CVV 494.29
CRO AVY 949.24
CRP CRD 220.22
CRQ AUW 153.63
CRR BSC 960.78
CRS BGH 233.54
CRT AKD 561.97
CRU CSQ 870.02
CRV AKP 288.42
CRW CNH 150.58
CRX ASG 605.19
CRY BAX 332.27
CRZ BMW 52.38
CSA AUP 147.42
CSB BRJ 374.64
CSC BIJ 183.51
CSD BXB 750.46
CSE CCQ 98.15
CSF BTJ 534.24
CSG CTJ 979.62
CSH CME 566.77
CSI BHQ 206.94
CSJ CNG 642.84
CSK BRI 930.63
CSL AER 583.23
CSM BGK 991.76
CSN APN 589.47
CSO AUS 518.94
CSP BMA 917.65
CSQ BVH 850.73
CSR CCU 381.15
CSS CGG 324.74
CST ALE 330.51
CSU BFV 592.86
CSV CJP 674.69
CSW AFQ 686.82
CSX CAY 276.21
CSY CVH 533.73
CSZ BEI 134.25
CTA ADW 850.32
CTB AVO 872.61
CTC AVP 69.43
CTD BTT 493.15
CTE BPP 430.99
CTF AGQ 581.77
CTG AYU 866.62
CTH BRT 479.48
CTI BZZ 585.10
CTJ CRD 777.79
CTK CJO 165.30
CTL BUR 913.98
CTM BNF 20.98
CTN CSD 909.41
CTO BBQ 109.25
CTP ALX 346.11
CTQ AIR 88.19
CTR AEK 292.21
CTS AUQ 7.86
CTT AJD 73.03
CTU CSM 359.69
CTV AYI 47.61
CTW BOV 944.76
CTX BLZ 581.21
CTY AJS 827.64
CTZ BXU 707.84
CUA AUO 138.52
CUB CXA 845.07
CUC CRH 975.53
CUD BFY 877.74
CUE BCJ 125.19
CUF CNA 534.91
CUG BBK 933.14
CUH ARK 698.04
CUI CED 776.01
CUJ CIK 706.89
CUK CDU 752.91
CUL CQA 525.54
CUM AZZ 608.63
CUN CKP 391.07
CUO AJJ 629.27
CUP BRN 429.22
CUQ CQN 47.77
CUR BAG 90.82
CUS BUM 355.82
CUT ARM 598.65
CUU CNS 682.97
CUV CKA 21.44
CUW CWZ 287.73
CUX AOK 720.64
CUY BDA 654.08
CUZ BAY 199.44
CVA ATF 345.56
CVB CCQ 268.20
CVC AKT 995.26
CVD BFA 553.99
CVE AMJ 85.22
CVF CLN 719.37
CVG CAT 421.03
CVH ABL 483.33
CVI AVE 105.79
CVJ BVH 584.91
CVK AYM 542.59
CVL CBG 568.41
CVM BWJ 325.85
CVN ANH 57.58
CVO ACC 43.63
CVP BJK 713.97
CVQ AIJ 309.05
CVR AQQ 506.92
CVS ARB 804.96
CVT CAS 255.90
CVU CGT 207.65
CVV BUY 350.21
CVW CNR 948.99
CVX CSK 732.57
CVY CPH 242.57
CVZ BHK 334.11
CWA AJS 923.85
CWB BYW 942.52
CWC ANY 518.62
CWD AIR 556.67
CWE BOZ 584.17
CWF BYW 114.97
CWG AUV 416.34
CWH ASP 361.06
CWI CNG 9.85
CWJ CPI 438.53
CWK BVF 755.76
CWL BFV 9.70
CWM AIT 949.34
CWN CHJ 250.09
CWO AQF 223.28
CWP BBL 467.64
CWQ CAQ 650.25
CWR BID 723.87
CWS ACD 900.83
CWT ATG 731.13
CWU BLA 714.72
CWV CEC 541.74
CWW AYJ 795.04
CWX ASV 679.41
CWY AFR 846.81
CWZ AJX 22.39
CXA CIB 397.26
CXB AZK 634.36
CXC ARE 101.40
CXD ASB 865.55
CXE CMH 468.67
CXF AJK 471.82
CXG CIK 70.40
CXH BRF 451.32
CXI AWZ 639.77
CXJ CRH 619.75
CXK ATH 355.59
CXL BOX 812.59
CXM CHT 554.86
CXN AGM 119.04
CXO AFN 100.52
CXP CQK 167.77
CXQ AIG 500.56
CXR AHP 7.90
CXS CNH 686.60
CXT CUH 926.66
CXU AHS 533.69
CXV BDH 601.23
CXW CJV 921.22
CXX ARJ 902.36
CXY AVR 725.56
CXZ ASA 242.52
CYA CTS 10.64
CYB BIT 558.83
CYC CQU 874.17
CYD CEN 130.71
CYE CTC 982.83
CYF ANC 635.99
CYG AOZ 100.62
CYH BPI 85.37
CYI CHV 680.86
CYJ CRN 433.05
CYK CQN 737.55
CYL CUG 145.68
CYM BSM 577.40
CYN ALL 383.29
CYO BJY 897.19
CYP BRS 711.17
CYQ CAA 7.98
CYR AIH 800.39
CYS CEG 111.40
CYT CQI 20.36
CYU CKX 393.10
CYV COJ 741.16
CYW BMR 463.76
CYX ARU 771.51
AKK ARP 165.60
BTU AJE 66.67
ANJ CYC 725.45
AQC AYD 272.27
CHU ADS 61.61
CWV CDT 69.59
CCD BKF 115.26
BPE BBP 299.14
BSD BTP 119.01
ALM AUW 582.77
BQP BQK 890.91
CNH AES 577.13
ABC AZR 572.56
AZF AJM 616.03
BQM APR 883.73
AVH COC 59.28
CFM BVW 198.73
AIE CGC 596.33
CPH CCH 387.03
ALG ABO 998.50
CPE CFC 545.00
CTW CHP 459.60
AUQ BEZ 776.57
BEC BDG 400.37
CHI BRQ 470.45
BWM CCK 861.49
BGZ BXN 7.02
BBR BJK 181.96
ASP CXZ 807.60
AUD AGV 625.10
ANV BAC 788.02
CVL BMC 625.48
BPA BML 204.17
CSH BNX 413.05
BYN ADE 524.39
BBZ AIX 599.81
AAO BJX 35.94
BXN CEZ 948.03
BWO AJI 635.22
CQY BQM 380.05
ASC AJY 765.29
CRS BFA 172.40
BFF CIP 15.01
CTC BVK 865.68
CWG CMI 667.47
AGF AAF 140.60
CDQ CXB 507.87
BJS BDA 131.53
CGO AKR 607.92
AYC AKW 324.07
BIA BST 441.99
ABQ APO 506.69
CXU AJX 304.81
BUG BFT 776.44
BVE CIM 994.93
BVK CKU 594.23
BTN BDR 599.37
CWO CWB 853.83
AVV BBP 703.11
BGR BRG 118.33
AOB CML 888.11
BDP ANG 636.95
BNM BTH 480.90
AHW BFQ 460.60
CQI AZR 152.62
CPT ADM 408.41
BIA ABB 500.73
BSR CPV 956.08
AIX ACW 558.98
CNR AKA 944.65
CBF BPF 656.67
ADB BRB 460.32
CJX BUN 691.53
AQP BWV 365.31
CDU BHZ 347.35
CHG COI 468.64
CVW AFT 869.77
CMT AEG 58.61
AEF AAI 330.23
AOF BFU 292.54
CDL ASZ 269.61
BJC AUF 866.96
AER CMO 427.76
CPA AIB 583.85
BLP BKJ 111.68
BOO AGF 6.18
BUH BRU 25.10
CMB BZZ 767.82
CMK AOK 924.65
ATG CYE 689.27
BZT BXU 852.96
CTY CYO 630.89
CHO BDM 660.01
AEF BSH 584.74
BOO AZV 702.16
CIH BXP 491.94
BBD CRG 362.48
ACF AWK 978.03
BED CBW 458.21
BDK BAD 34.95
APU AMP 143.47
BCY CCN 276.92
CTZ CQC 59.14
CAW AJL 854.62
ABU BFH 355.71
BZJ AAH 909.78
CFF AXJ 985.45
AQG BDJ 616.03
AGS AWM 696.60
BGV AQP 884.43
BTK BRM 635.59
BKN BTE 383.21
BBS BPW 830.74
BYR BIS 569.45
AFA ASF 183.19
ASW CRJ 947.17
BQF BAZ 540.53
AIE ALS 478.92
BSE AME 203.14
CWH BQT 964.88
BOV BNJ 453.41
AJB BZS 685.22
CML BDQ 454.71
AWF ACP 585.43
CBZ BCL 498.60
BUK CEA 59.91
AJZ CGB 88.33
AVR CBY 619.30
BVJ COA 284.95
ANF AVL 379.95
CAO CVA 939.27
BBI BDS 269.88
CSN AWY 975.76
CVC CFJ 952.51
AYP CAA 218.29
ADS CNF 455.84
CXH AUI 411.42
CAH BFE 234.02
CCY CLT 703.17
AMZ CLP 515.49
AJB CIU 718.92
CAI BJK 276.10
ALW ATC 243.20
CRF ADW 105.05
CFV AKV 104.06
BUC CTT 750.45
ADA BMT 991.41
BIF BDH 530.99
BIO CDB 848.10
AVF BLS 145.90
AFB BVC 389.27
BOM BGC 195.15
CVC CFY 412.27
AAA AAM 495.35
AYJ BDQ 356.86
ATE CRV 331.90
CTM BYJ 807.40
AXV BDG 871.71
ABY CIK 144.12
CBE ATT 73.10
BKW CDK 38.62
AFO BKT 143.45
CLN AHA 493.97
AAP ACR 556.50
BEF CPO 956.50
BKQ BXY 402.84
AKB ABM 351.34
CAV CIB 49.92
BKI CXX 59.64
CEB BXK 83.66
BWB BSC 801.01
AHX CFJ 930.59
BCL BVT 912.04
BFD BIH 152.07
AVT BIJ 755.74
AIH CGV 827.11
AXH AZO 116.63
AGL AAI 942.77
AFK CXW 836.50
CCU BAP 809.46
BJM BEM 844.03
BDM AHV 820.05
ANV CCD 442.10
BWC BLE 449.49
ATB AUU 501.10
AAZ BWD 790.27
BAN BWT 812.42
BAV CHK 538.48
BNI BTY 840.15
CNX ASZ 861.55
BGZ BIM 839.32
BOU BIR 812.06
ASA CEH 759.72
CQS BDL 503.31
AMP BHR 599.33
CWG CVF 4.29
BUB BSB 284.54
BCN BZT 791.43
ALC CAI 901.92
BEB CTW 512.14
ABD AFW 869.27
BXJ CAG 101.36
BQG CMT 811.97
CTR AAO 240.17
BPZ ALO 538.03
BMG BCB 461.30
ASX CHB 164.13
CSR BAC 436.10
CHP BHM 547.04
CQB AQV 169.92
CVX COA 441.25
CKU CTH 41.54
BYP BOK 117.89
CMR BPB 948.88
CYF BVA 311.03
BOW CNP 541.94
AWZ AEO 431.88
CKP COM 120.32
BGS AQQ 982.21
BXN CQI 21.22
BMP CVD 98.92
BUM APS 381.65
AXM AVD 517.97
CMN CDH 594.64
BWE AUV 114.98
BKV BPV 514.79
BPJ AYE 288.94
BEX AZK 394.91
CJC BHX 951.19
CAM CAD 23.21
CKG BVZ 796.08
ABA CPX 629.63
AWD CVQ 625.24
AOB CBB 431.34
BWK BHT 451.64
ANH BBG 224.16
BLL CJQ 373.73
CYJ CDQ 228.00
BUW BJH 896.03
AWC BVQ 415.43
AGR BUC 629.08
CWO ATT 468.78
CTH BNX 649.04
CIY AUE 778.31
ART CMY 805.48
CGN ARO 878.06
BRG CSJ 865.04
BJM BLT 198.29
CST BKA 998.15
CCZ ASM 573.85
AYD COY 619.59
CFK AXU 561.33
BHY CUC 944.23
CCC CNP 122.76
CDQ AXI 18.60
CVE BDK 746.73
ADF CKI 821.95
BOY CDU 696.71
AAA CKF 929.45
ASM BMO 307.84
AWA BYO 345.65
BTU CRF 675.44
BOY AIO 90.36
BRE ATF 379.18
COM BBJ 136.76
ASY COV 651.22
AEJ CWI 310.24
CVR CXF 651.07
CUM BIQ 901.71
BIC ABK 285.24
AVG AXD 53.56
ANN AFP 999.29
BJQ BTL 591.19
CQJ CDW 641.84
ASU BRK 256.58
AIR AXF 913.86
ATP CKP 982.30
ARW BPV 326.95
COA CJY 309.62
CPK AFE 928.46
ANP CFJ 920.85
BGS CCQ 906.37
ABG BIH 773.41
CSQ CCX 302.67
BYQ BPT 780.44
CVV BFR 388.84
CHN BOO 874.62
BLY ADX 59.71
AWY BOY 967.88
BCD AKC 528.56
AWC ANJ 886.09
ANI BZL 713.14
BVP BNQ 521.65
AZP BXX 565.49
CPI CND 387.37
BJQ BJT 960.53
AMU BCP 99.73
AQR BPB 278.72
CTD AHZ 148.58
AEI BOX 938.06
BFF AAY 605.37
ATG CNB 694.63
CGW AIA 878.09
BTJ BQR 910.47
BVC CTA 597.12
AFY CVB 358.14
BIN AIQ 107.40
AME ARG 990.72
AUD BYG 498.58
CJB BQV 940.59
CXN AAC 245.23
CLQ CEK 333.35
CTQ BXB 438.35
BLJ AZY 333.66
BSZ BCK 485.45
BPD AVH 1.22
CLH CLH 942.76
ADQ BPE 675.25
CBW BXG 258.42
BHH BZN 987.17
BUY CTR 63.04
BAK CHQ 862.68
AMB CBH 262.74
BMA BQL 784.89
COK AAB 994.60
AYH AET 606.30
AKR BCX 580.51
CNJ AYE 16.96
BLR BFQ 357.90
AMG CHG 915.43
AUN CSY 627.60
ADF ARW 99.80
CEN BPZ 190.18
BJO CIU 776.84
BJP CBO 606.72
CBW AOK 767.50
ATJ AQJ 453.82
BRO ASG 100.11
CXE AXS 697.10
CFM ATR 70.41
CNB BWY 833.59
ATN CJS 722.45
CJM BLN 743.28
BTI AZJ 497.97
AVZ BZF 810.74
BKJ AQR 3.51
COH CRV 77.52
AVD AGW 302.55
BSV CUQ 517.39
CMN BXH 980.46
BYB BMF 515.40
BWJ BVQ 675.83
AIY CIG 160.91
BIH COA 560.41
AWC BEK 332.20
BMU BRX 961.43
BTF BVX 54.40
CAC CTH 355.15
CJI CWU 880.64
BHS CYO 315.82
CTX CGX 576.11
BQP CEK 289.12
AZX CVL 45.21
AOZ CXB 707.54
CGX CGP 379.97
BNL AAS 505.72
AKK CEC 179.32
ASH BZA 691.07
AQE CPA 304.61
APU BYY 880.56
ALH BJZ 652.84
CPS AHR 291.53
AAV BBT 682.60
CXW CSH 732.85
CTB CSE 940.27
CTT APG 279.10
CMM BAE 589.35
BMO CQU 275.58
BCQ AXD 640.33
AQF BMV 528.05
CNS ALH 592.16
CVK CRE 838.61
BLT APU 779.73
BFC ABW 739.95
BLW ACX 443.19
COR AMZ 221.67
APX BWZ 200.32
AVH BFZ 597.08
BSL BUU 930.62
ATW AAW 918.07
BSS CJE 365.80
BKY CDV 522.88
CAT CCV 841.96
CCP CQE 695.29
CTA ADN 626.89
AHB AJY 16.74
CRO AYT 534.07
AYP ANN 358.20
AIA CPY 507.26
AWK CIN 958.81
AGQ AFX 247.49
CXZ BEN 699.11
CBW BMC 932.24
CGQ BHN 465.95
CKE CIB 523.66
AIS BVN 45.64
BHL BMG 147.47
CIN BFI 745.56
BZN CHG 115.47
BWQ CQF 897.55
CCN BHR 783.37
AVQ BRU 528.61
CHS ANY 808.37
BDW BYJ 565.89
AMZ CML 541.14
CWA AWT 340.82
BJI BZN 23.08
COQ AJN 951.78
CKN AFQ 887.51
CPI CVE 760.90
BLP AWT 653.54
AEM CRL 931.23
ASK AYS 116.85
CQU CIX 215.90
CRV ABX 87.18
APR AFB 30.55
CPE AQY 389.79
ANH CXU 698.97
ASX BPH 479.81
BCR CGH 239.58
CMZ BUZ 100.61
CFM BAU 310.38
ASU BCF 731.54
ACT AZZ 296.33
AER CBP 634.21
AXG ARG 432.36
CBS CQL 899.95
CAO ABC 857.41
BEL AAK 704.38
AZI AMI 392.82
CUH AOR 820.27
BJR CCQ 260.68
CLX AWC 915.62
AMY AVN 84.02
ADE CYE 168.26
BHY CIJ 872.99
AZM CIE 539.03
BAO CLU 353.00
BOM ARG 430.18
CAV COO 821.62
AEC CPQ 288.20
CGS CSG 810.52
ARL COZ 319.79
BMY ATB 96.40
BMF BYV 683.29
BJE AXW 4.11
BFY AUE 252.93
ASU AGU 983.07
BKB CHM 893.50
AZR CNS 464.02
BDX AUJ 261.27
BKU CIV 222.34
BOJ CIA 821.12
CHK CHT 625.65
BHI CUK 95.78
CFE AYV 29.23
ANY ALE 21.89
AUS AXA 810.19
ADH ALO 578.60
CQZ BOO 867.97
AZY BTM 398.16
AXJ CQA 989.46
AGM AIY 739.02
ACV BES 889.51
ALV BCA 524.95
BKQ AAD 813.61
BVU AUY 792.00
AHK CID 835.62
BGM CCT 624.53
CVB AWA 588.90
CDD BCN 550.35
CHT CMX 797.10
CQR CWR 466.69
BJZ BVW 551.89
AAP COX 312.62
AAS CDX 595.69
AVQ BMR 568.73
ASK BJJ 321.16
AJT CAU 326.60
BTI AXQ 315.05
CVV CLM 77.56
CXI CNW 711.89
AJR AOR 767.42
CFN CIL 228.79
BVM BTP 558.15
BNZ BDB 178.30
ABS CKQ 282.01
BYQ ADS 891.15
BAM BQR 815.93
CLR BLE 961.99
BYF BBU 33.77
CAR AKD 756.48
ADY CAF 119.58
AAZ AWQ 862.09
BUP APN 37.04
AMG AWO 332.90
ALM BEH 726.82
BCT CVE 10.78
CTK CTC 183.94
BTE APJ 34.35
AJO AEY 150.90
